"","id","inclinacion_peligrosa"
"1",1,0
"2",2,0
"3",4,0
"4",6,0
"5",9,0
"6",13,0
"7",14,0
"8",17,0
"9",23,0
"10",28,0
"11",30,0
"12",31,0
"13",34,0
"14",35,0
"15",44,0
"16",48,0
"17",49,0
"18",51,0
"19",52,0
"20",53,0
"21",61,0
"22",62,0
"23",66,0
"24",73,0
"25",83,0
"26",86,0
"27",92,0
"28",102,0
"29",110,0
"30",111,0
"31",115,0
"32",119,0
"33",120,0
"34",122,0
"35",123,0
"36",127,0
"37",128,0
"38",131,0
"39",141,0
"40",142,0
"41",144,0
"42",152,0
"43",156,0
"44",157,0
"45",158,0
"46",160,0
"47",163,0
"48",164,0
"49",167,0
"50",169,0
"51",171,0
"52",175,0
"53",176,0
"54",178,0
"55",183,0
"56",184,0
"57",197,0
"58",201,0
"59",202,0
"60",203,0
"61",209,0
"62",210,0
"63",214,0
"64",221,0
"65",225,0
"66",227,0
"67",236,0
"68",238,0
"69",241,0
"70",244,0
"71",249,0
"72",251,0
"73",254,0
"74",256,0
"75",264,0
"76",267,0
"77",270,0
"78",273,0
"79",275,0
"80",276,0
"81",279,0
"82",280,0
"83",285,0
"84",286,0
"85",287,0
"86",289,0
"87",290,0
"88",300,0
"89",301,0
"90",302,0
"91",303,0
"92",304,0
"93",307,0
"94",312,0
"95",315,0
"96",319,0
"97",323,0
"98",328,0
"99",336,0
"100",343,0
"101",345,0
"102",346,0
"103",350,0
"104",356,0
"105",363,0
"106",365,0
"107",368,0
"108",370,0
"109",371,0
"110",373,0
"111",374,0
"112",375,0
"113",376,0
"114",377,0
"115",379,0
"116",380,0
"117",381,0
"118",385,0
"119",388,0
"120",399,0
"121",404,0
"122",409,0
"123",411,0
"124",417,0
"125",420,0
"126",421,0
"127",436,0
"128",441,0
"129",442,0
"130",450,0
"131",455,0
"132",456,0
"133",461,0
"134",462,0
"135",464,0
"136",467,0
"137",475,0
"138",478,0
"139",484,0
"140",485,0
"141",493,0
"142",499,0
"143",504,0
"144",505,0
"145",509,0
"146",510,0
"147",517,0
"148",521,0
"149",522,0
"150",528,0
"151",534,0
"152",538,0
"153",539,0
"154",542,0
"155",545,0
"156",547,0
"157",548,0
"158",550,0
"159",563,0
"160",569,0
"161",573,0
"162",574,0
"163",576,0
"164",577,0
"165",579,0
"166",580,0
"167",582,0
"168",585,0
"169",586,0
"170",590,0
"171",594,0
"172",604,0
"173",606,0
"174",607,0
"175",612,0
"176",614,0
"177",615,0
"178",617,0
"179",619,0
"180",629,0
"181",632,0
"182",635,0
"183",637,0
"184",639,0
"185",640,0
"186",642,0
"187",644,0
"188",645,0
"189",648,0
"190",649,0
"191",653,0
"192",659,0
"193",661,0
"194",668,0
"195",670,0
"196",676,0
"197",683,0
"198",687,0
"199",690,0
"200",692,0
"201",694,0
"202",699,0
"203",701,0
"204",702,0
"205",704,0
"206",705,0
"207",707,0
"208",710,0
"209",714,0
"210",717,0
"211",718,0
"212",720,0
"213",721,0
"214",722,0
"215",726,0
"216",734,0
"217",736,0
"218",737,0
"219",738,0
"220",739,0
"221",740,0
"222",747,0
"223",749,0
"224",756,0
"225",757,0
"226",762,0
"227",768,0
"228",773,0
"229",774,0
"230",775,0
"231",776,0
"232",783,0
"233",788,0
"234",789,0
"235",798,0
"236",799,0
"237",802,0
"238",804,0
"239",812,0
"240",816,0
"241",817,0
"242",821,0
"243",825,0
"244",829,0
"245",830,0
"246",832,0
"247",834,0
"248",835,0
"249",836,0
"250",840,0
"251",841,0
"252",843,0
"253",847,0
"254",849,0
"255",850,0
"256",852,0
"257",857,0
"258",863,0
"259",872,0
"260",878,0
"261",881,0
"262",882,0
"263",890,0
"264",899,0
"265",901,0
"266",902,0
"267",905,0
"268",907,0
"269",910,0
"270",918,0
"271",927,0
"272",929,0
"273",930,0
"274",940,0
"275",944,0
"276",953,0
"277",959,0
"278",964,0
"279",974,0
"280",975,0
"281",978,0
"282",980,0
"283",983,0
"284",989,0
"285",990,0
"286",991,0
"287",997,0
"288",999,0
"289",1004,0
"290",1005,0
"291",1008,0
"292",1009,0
"293",1013,0
"294",1017,0
"295",1021,0
"296",1028,0
"297",1029,0
"298",1038,0
"299",1043,0
"300",1046,0
"301",1047,0
"302",1050,0
"303",1058,0
"304",1060,0
"305",1062,0
"306",1070,0
"307",1072,0
"308",1079,0
"309",1093,0
"310",1094,0
"311",1096,0
"312",1099,0
"313",1104,0
"314",1106,0
"315",1111,0
"316",1114,0
"317",1120,0
"318",1121,0
"319",1124,0
"320",1128,0
"321",1129,0
"322",1134,0
"323",1137,0
"324",1145,0
"325",1148,0
"326",1149,0
"327",1151,0
"328",1152,0
"329",1156,0
"330",1161,0
"331",1164,0
"332",1171,0
"333",1177,0
"334",1181,0
"335",1187,0
"336",1188,0
"337",1193,0
"338",1202,0
"339",1205,0
"340",1209,0
"341",1225,0
"342",1227,0
"343",1230,0
"344",1231,0
"345",1232,0
"346",1233,0
"347",1236,0
"348",1237,0
"349",1242,0
"350",1247,0
"351",1256,0
"352",1257,0
"353",1262,0
"354",1266,0
"355",1269,0
"356",1271,0
"357",1272,0
"358",1281,0
"359",1284,0
"360",1285,0
"361",1291,0
"362",1294,0
"363",1301,0
"364",1303,0
"365",1306,0
"366",1307,0
"367",1312,0
"368",1322,0
"369",1326,0
"370",1327,0
"371",1334,0
"372",1336,0
"373",1343,0
"374",1347,0
"375",1348,0
"376",1360,0
"377",1365,0
"378",1369,0
"379",1375,0
"380",1376,0
"381",1377,0
"382",1378,0
"383",1383,0
"384",1384,0
"385",1390,0
"386",1394,0
"387",1397,0
"388",1398,0
"389",1401,0
"390",1402,0
"391",1404,0
"392",1405,0
"393",1407,0
"394",1409,0
"395",1410,0
"396",1411,0
"397",1416,0
"398",1421,0
"399",1422,0
"400",1428,0
"401",1432,0
"402",1433,0
"403",1436,0
"404",1441,0
"405",1444,0
"406",1449,0
"407",1450,0
"408",1451,0
"409",1462,0
"410",1466,0
"411",1468,0
"412",1470,0
"413",1471,0
"414",1473,0
"415",1478,0
"416",1492,0
"417",1496,0
"418",1497,0
"419",1503,0
"420",1504,0
"421",1505,0
"422",1506,0
"423",1514,0
"424",1516,0
"425",1524,0
"426",1530,0
"427",1533,0
"428",1536,0
"429",1540,0
"430",1541,0
"431",1558,0
"432",1560,0
"433",1564,0
"434",1570,0
"435",1573,0
"436",1576,0
"437",1577,0
"438",1580,0
"439",1582,0
"440",1587,0
"441",1589,0
"442",1590,0
"443",1591,0
"444",1598,0
"445",1599,0
"446",1602,0
"447",1607,0
"448",1610,0
"449",1611,0
"450",1617,0
"451",1618,0
"452",1621,0
"453",1630,0
"454",1633,0
"455",1639,0
"456",1642,0
"457",1644,0
"458",1646,0
"459",1647,0
"460",1648,0
"461",1650,0
"462",1651,0
"463",1652,0
"464",1653,0
"465",1654,0
"466",1656,0
"467",1657,0
"468",1658,0
"469",1666,0
"470",1668,0
"471",1669,0
"472",1673,0
