id,inclinacion_peligrosa
28681,0
28753,0
40541,0
37979,0
43750,0
4577,0
2794,0
38891,0
5173,0
45394,0
45413,0
45070,0
17935,0
7294,0
10309,0
39612,0
24530,0
4222,0
32607,0
45178,0
38594,0
19398,0
14088,0
15767,0
20913,0
4429,0
9433,0
28836,0
14773,0
46036,0
39869,0
19209,0
29450,0
2446,0
47513,0
25805,0
21662,0
31677,0
23104,0
14331,0
41110,0
41026,0
36613,0
15391,0
13893,0
23242,0
46333,0
26553,0
35535,0
4604,0
43926,0
29774,0
12179,0
6154,0
20724,0
12761,0
25279,0
39159,0
37143,0
16698,0
9491,0
38066,0
27396,0
31307,0
44588,0
30872,0
31099,0
29349,0
43686,0
25400,0
12933,0
21079,0
64,0
47272,0
22033,0
37673,0
11267,0
34946,0
11098,0
24287,0
16999,0
41403,0
28742,0
10301,0
43209,0
48217,0
38965,0
38310,0
17701,0
13086,0
15452,0
34127,0
15859,0
31880,0
18927,0
28162,0
9378,0
46409,0
1173,0
10003,0
33113,0
45175,0
48009,0
38678,0
41101,0
10864,0
40715,0
14770,0
43241,0
30005,0
6131,0
44501,0
22075,0
14284,0
4941,0
45144,0
8591,0
40083,0
14848,0
31829,0
30637,0
21998,0
36677,0
48139,0
15586,0
9138,0
14244,0
19134,0
11925,0
38795,0
17484,0
23644,0
2110,0
16162,0
32018,0
28552,0
47700,0
43641,0
31032,0
40595,0
1063,0
18536,0
34063,0
23068,0
23842,0
7700,0
24494,0
23148,0
34518,0
38440,0
24575,0
11090,0
38643,0
7226,0
21707,0
44207,0
21821,0
228,0
35162,0
15109,0
37168,0
35306,0
3332,0
23958,0
22131,0
40924,0
26527,0
13011,0
18535,0
36098,0
24592,0
17019,0
11807,0
36937,0
2981,0
37166,0
8199,0
33781,0
31110,0
20893,0
26461,0
9450,0
47842,0
26462,0
6509,0
40966,0
39824,0
27375,0
31990,0
11991,0
43437,0
46382,0
40344,0
16088,0
15381,0
7319,0
23798,0
45975,0
10152,0
1507,0
39901,0
37715,0
36139,0
28747,0
17264,0
17406,0
47925,0
25244,0
21640,0
17611,0
4788,0
20177,0
34954,0
40538,0
31931,0
41530,0
28181,0
45848,0
22827,0
18793,0
5323,0
39176,0
47520,0
6073,0
19938,0
41219,0
11840,0
42535,0
4224,0
5890,0
26043,0
39349,0
19881,0
33022,0
15434,0
30210,0
4704,0
16433,0
17366,0
13318,0
31048,0
22450,0
39518,0
46659,0
46467,0
22661,0
25685,0
22195,0
9333,0
26715,0
3099,0
28456,0
17000,0
40074,0
46871,0
36547,0
42245,0
37886,0
17593,0
44755,0
1635,0
7685,0
33450,0
34502,0
2002,0
291,0
36823,0
631,0
7242,0
16610,0
26984,0
23452,0
46897,0
46376,0
7464,0
14961,0
25821,0
13724,0
39294,0
22484,0
5843,0
39237,0
6541,0
22579,0
5500,0
17222,0
29657,0
10086,0
7224,0
37733,0
25379,0
31516,0
47933,0
10378,0
9901,0
29765,0
28385,0
946,0
27865,0
22912,0
13032,0
47808,0
15848,0
838,0
44978,0
38600,0
46210,0
21359,0
5566,0
35242,0
30158,0
33388,0
23703,0
35170,0
35448,0
35151,0
29484,0
14767,0
20490,0
10400,0
3336,0
3448,0
33643,0
41161,0
11727,0
48205,0
23708,0
33227,0
31270,0
19848,0
14200,0
14434,0
48083,0
41127,0
11940,0
2584,0
22494,0
36748,0
38476,0
22900,0
12311,0
13669,0
46474,0
1510,0
16501,0
48333,0
17067,0
41535,0
32165,0
33344,0
14424,0
19399,0
39308,0
30674,0
36071,0
28318,0
19458,0
1773,0
40320,0
41860,0
34069,0
36380,0
45235,0
3339,0
46116,0
27412,0
20948,0
30739,0
46846,0
8523,0
26040,0
36981,0
26872,0
3742,0
41052,0
18691,0
28155,0
9504,0
21114,0
47447,0
29515,0
22590,0
28493,0
10561,0
23885,0
27000,0
10122,0
11796,0
13720,0
40178,0
7659,0
39200,0
44721,0
20721,0
8282,0
33734,0
18243,0
31548,0
32985,0
21529,0
27575,0
19325,0
44800,0
32010,0
47580,0
2787,0
4767,0
14467,0
